freq,psd_x,psd_y,psd_z,psd_xyz
162.5,5.889e+02,2.277e+03,2.361e+03,5.227e+03
164.0,6.060e+02,2.823e+03,2.865e+03,6.293e+03
165.5,6.257e+02,3.318e+03,3.349e+03,7.293e+03
167.0,6.489e+02,3.828e+03,3.942e+03,8.418e+03
168.5,7.213e+02,4.360e+03,4.484e+03,9.566e+03
170.0,7.677e+02,4.977e+03,4.930e+03,1.067e+04
171.5,8.072e+02,6.055e+03,5.642e+03,1.250e+04
173.0,9.292e+02,7.634e+03,6.804e+03,1.537e+04
174.5,1.159e+03,8.558e+03,8.178e+03,1.790e+04
175.9,1.406e+03,9.386e+03,9.642e+03,2.043e+04
177.4,1.795e+03,1.023e+04,1.168e+04,2.370e+04
178.9,2.243e+03,1.062e+04,1.381e+04,2.667e+04
180.4,2.575e+03,1.065e+04,1.525e+04,2.847e+04
181.9,2.824e+03,1.035e+04,1.630e+04,2.947e+04
183.4,3.155e+03,9.620e+03,1.725e+04,3.002e+04
184.9,3.289e+03,8.347e+03,1.715e+04,2.879e+04
186.4,3.365e+03,7.082e+03,1.692e+04,2.736e+04
187.9,3.175e+03,5.692e+03,1.561e+04,2.448e+04
189.4,2.968e+03,4.627e+03,1.371e+04,2.131e+04
190.9,2.572e+03,3.737e+03,1.131e+04,1.762e+04
192.4,2.124e+03,2.962e+03,9.141e+03,1.423e+04
193.8,1.848e+03,2.582e+03,7.497e+03,1.193e+04
195.3,1.674e+03,2.392e+03,6.372e+03,1.044e+04
196.8,1.634e+03,2.459e+03,5.569e+03,9.661e+03
198.3,1.539e+03,2.227e+03,4.881e+03,8.647e+03
199.8,1.196e+03,1.955e+03,3.672e+03,6.823e+03
