freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.204e+01,2.200e+01,2.780e+02,3.120e+02
1.5,4.579e+01,7.240e+01,1.786e+02,2.968e+02
3.0,5.774e+01,7.945e+01,3.626e+01,1.734e+02
4.5,7.290e+01,1.034e+02,2.782e+02,4.545e+02
6.0,6.549e+01,1.092e+02,1.107e+03,1.281e+03
7.5,6.466e+01,9.511e+01,1.891e+03,2.051e+03
9.0,6.339e+01,1.007e+02,2.872e+03,3.036e+03
10.5,6.599e+01,1.009e+02,4.174e+03,4.341e+03
12.0,5.972e+01,1.054e+02,4.324e+03,4.489e+03
13.4,6.172e+01,9.648e+01,4.585e+03,4.744e+03
14.9,5.764e+01,9.927e+01,6.100e+03,6.257e+03
16.4,5.795e+01,1.068e+02,7.735e+03,7.899e+03
17.9,6.292e+01,1.068e+02,9.726e+03,9.895e+03
19.4,6.182e+01,1.109e+02,1.201e+04,1.218e+04
20.9,5.721e+01,1.025e+02,1.442e+04,1.458e+04
22.4,6.176e+01,1.069e+02,1.683e+04,1.700e+04
23.9,6.511e+01,1.161e+02,1.951e+04,1.969e+04
25.4,5.596e+01,1.125e+02,2.252e+04,2.268e+04
26.9,5.746e+01,1.218e+02,2.519e+04,2.537e+04
28.4,5.160e+01,1.297e+02,2.817e+04,2.835e+04
29.9,5.860e+01,1.420e+02,3.228e+04,3.248e+04
31.4,6.342e+01,1.484e+02,3.801e+04,3.822e+04
32.9,6.459e+01,1.618e+02,4.450e+04,4.473e+04
34.4,6.374e+01,1.675e+02,5.199e+04,5.222e+04
35.9,6.072e+01,1.779e+02,6.028e+04,6.052e+04
37.4,5.508e+01,1.888e+02,7.065e+04,7.090e+04
38.9,5.693e+01,1.788e+02,7.709e+04,7.733e+04
40.3,5.557e+01,2.334e+02,8.497e+04,8.526e+04
41.8,6.410e+01,2.226e+02,9.879e+04,9.907e+04
43.3,8.212e+01,2.162e+02,1.159e+05,1.162e+05
44.8,1.155e+02,2.263e+02,1.373e+05,1.376e+05
46.3,1.527e+02,3.092e+02,1.733e+05,1.738e+05
47.8,2.322e+02,4.705e+02,2.246e+05,2.253e+05
49.3,4.297e+02,6.312e+02,2.897e+05,2.908e+05
50.8,1.345e+03,1.578e+03,4.084e+05,4.113e+05
52.3,3.171e+03,3.343e+03,5.410e+05,5.475e+05
53.8,3.192e+03,2.987e+03,5.294e+05,5.355e+05
55.3,2.994e+03,2.601e+03,5.225e+05,5.281e+05
56.8,2.534e+03,2.410e+03,5.291e+05,5.340e+05
58.3,2.022e+03,2.427e+03,5.446e+05,5.491e+05
59.8,1.947e+03,2.835e+03,5.741e+05,5.789e+05
61.3,2.071e+03,3.073e+03,6.157e+05,6.208e+05
62.8,1.332e+03,3.129e+03,6.531e+05,6.576e+05
64.3,6.802e+02,3.548e+03,6.112e+05,6.154e+05
65.7,1.228e+03,3.781e+03,5.350e+05,5.401e+05
67.2,1.460e+03,3.180e+03,4.548e+05,4.595e+05
68.7,1.156e+03,2.441e+03,3.858e+05,3.894e+05
70.2,1.465e+03,2.531e+03,3.569e+05,3.609e+05
71.7,2.311e+03,2.989e+03,3.495e+05,3.548e+05
73.2,2.982e+03,3.244e+03,3.299e+05,3.361e+05
74.7,3.135e+03,3.124e+03,3.030e+05,3.092e+05
76.2,2.883e+03,2.645e+03,2.847e+05,2.902e+05
77.7,2.239e+03,2.045e+03,2.736e+05,2.779e+05
79.2,1.670e+03,1.690e+03,2.615e+05,2.648e+05
80.7,1.597e+03,1.433e+03,2.340e+05,2.370e+05
82.2,1.350e+03,8.649e+02,1.890e+05,1.912e+05
83.7,8.987e+02,4.965e+02,1.588e+05,1.602e+05
85.2,7.287e+02,6.517e+02,1.418e+05,1.432e+05
86.7,6.520e+02,6.907e+02,1.277e+05,1.290e+05
88.2,4.151e+02,5.294e+02,1.176e+05,1.185e+05
89.7,4.934e+02,7.337e+02,1.073e+05,1.085e+05
