freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.979e+00,1.549e+01,3.661e+02,3.905e+02
1.5,2.723e+01,3.950e+01,2.290e+02,2.957e+02
3.0,2.959e+01,3.772e+01,3.210e+01,9.941e+01
4.5,3.409e+01,4.057e+01,2.651e+02,3.397e+02
5.9,3.627e+01,3.948e+01,1.103e+03,1.179e+03
7.4,3.169e+01,3.752e+01,1.903e+03,1.973e+03
8.9,3.307e+01,3.871e+01,2.916e+03,2.988e+03
10.4,3.472e+01,4.478e+01,4.037e+03,4.116e+03
11.9,3.443e+01,5.215e+01,3.840e+03,3.927e+03
13.4,3.357e+01,5.904e+01,4.719e+03,4.812e+03
14.8,3.502e+01,6.422e+01,6.288e+03,6.388e+03
16.3,3.669e+01,5.065e+01,7.927e+03,8.015e+03
17.8,4.128e+01,5.235e+01,9.945e+03,1.004e+04
19.3,3.887e+01,5.151e+01,1.221e+04,1.231e+04
20.8,3.436e+01,4.764e+01,1.475e+04,1.484e+04
22.3,3.844e+01,4.845e+01,1.755e+04,1.764e+04
23.8,3.964e+01,5.103e+01,2.055e+04,2.065e+04
25.2,4.195e+01,5.854e+01,2.384e+04,2.394e+04
26.7,4.750e+01,6.696e+01,2.719e+04,2.730e+04
28.2,4.083e+01,8.171e+01,3.130e+04,3.142e+04
29.7,3.808e+01,9.078e+01,3.558e+04,3.571e+04
31.2,3.965e+01,8.979e+01,4.072e+04,4.084e+04
32.7,4.465e+01,1.051e+02,4.778e+04,4.793e+04
34.2,6.548e+01,1.281e+02,5.660e+04,5.679e+04
35.6,1.579e+02,1.593e+02,6.628e+04,6.660e+04
37.1,3.824e+02,1.641e+02,7.701e+04,7.756e+04
38.6,4.745e+02,1.507e+02,8.861e+04,8.923e+04
40.1,3.780e+02,1.970e+02,1.041e+05,1.047e+05
41.6,2.782e+02,3.558e+02,1.240e+05,1.246e+05
43.1,2.125e+02,5.063e+02,1.368e+05,1.375e+05
44.5,1.779e+02,4.479e+02,1.491e+05,1.498e+05
46.0,2.590e+02,7.042e+02,1.898e+05,1.907e+05
47.5,5.129e+02,1.371e+03,2.593e+05,2.611e+05
49.0,1.095e+03,2.082e+03,3.507e+05,3.539e+05
50.5,2.471e+03,2.547e+03,4.363e+05,4.413e+05
52.0,3.636e+03,2.388e+03,4.680e+05,4.741e+05
53.5,3.127e+03,1.895e+03,4.415e+05,4.465e+05
54.9,2.534e+03,1.445e+03,4.608e+05,4.648e+05
56.4,1.933e+03,1.365e+03,5.757e+05,5.790e+05
57.9,1.983e+03,2.284e+03,7.112e+05,7.155e+05
59.4,2.424e+03,6.315e+03,8.714e+05,8.801e+05
60.9,2.574e+03,1.298e+04,1.087e+06,1.103e+06
62.4,3.872e+03,1.964e+04,1.286e+06,1.310e+06
63.8,9.039e+03,2.461e+04,1.176e+06,1.210e+06
65.3,1.431e+04,2.706e+04,1.031e+06,1.072e+06
66.8,1.466e+04,2.515e+04,8.478e+05,8.877e+05
68.3,1.243e+04,1.824e+04,6.158e+05,6.465e+05
69.8,1.102e+04,1.477e+04,4.807e+05,5.065e+05
71.3,1.058e+04,1.348e+04,4.020e+05,4.260e+05
72.8,8.864e+03,1.117e+04,3.587e+05,3.787e+05
74.2,6.559e+03,8.464e+03,3.284e+05,3.434e+05
75.7,5.955e+03,7.933e+03,3.015e+05,3.154e+05
77.2,6.180e+03,8.083e+03,2.700e+05,2.843e+05
78.7,7.657e+03,9.864e+03,2.332e+05,2.507e+05
80.2,1.093e+04,1.376e+04,2.018e+05,2.265e+05
81.7,1.202e+04,1.377e+04,1.826e+05,2.084e+05
83.1,9.927e+03,9.626e+03,1.682e+05,1.877e+05
84.6,6.470e+03,5.289e+03,1.533e+05,1.651e+05
86.1,3.113e+03,2.399e+03,1.382e+05,1.437e+05
87.6,1.127e+03,9.092e+02,1.257e+05,1.278e+05
89.1,9.914e+02,7.795e+02,1.165e+05,1.183e+05
90.6,1.766e+03,1.508e+03,1.094e+05,1.127e+05
92.1,2.613e+03,2.469e+03,1.027e+05,1.078e+05
93.5,3.496e+03,3.334e+03,9.577e+04,1.026e+05
95.0,4.064e+03,3.444e+03,8.757e+04,9.508e+04
96.5,4.083e+03,2.969e+03,7.883e+04,8.589e+04
98.0,3.774e+03,2.512e+03,6.981e+04,7.610e+04
99.5,3.517e+03,2.533e+03,6.218e+04,6.823e+04
101.0,2.903e+03,2.489e+03,5.414e+04,5.953e+04
102.5,1.976e+03,2.575e+03,4.563e+04,5.018e+04
103.9,1.125e+03,2.426e+03,3.614e+04,3.969e+04
105.4,8.114e+02,2.583e+03,2.738e+04,3.077e+04
106.9,9.918e+02,2.992e+03,2.341e+04,2.739e+04
108.4,1.272e+03,3.054e+03,2.113e+04,2.546e+04
109.9,1.578e+03,3.289e+03,1.954e+04,2.441e+04
111.4,1.600e+03,3.892e+03,1.822e+04,2.371e+04
112.8,1.413e+03,4.604e+03,1.603e+04,2.205e+04
114.3,1.137e+03,5.409e+03,1.348e+04,2.003e+04
115.8,7.951e+02,6.687e+03,1.075e+04,1.823e+04
117.3,6.736e+02,8.449e+03,8.931e+03,1.805e+04
118.8,1.292e+03,8.445e+03,7.898e+03,1.763e+04
120.3,3.395e+03,6.587e+03,8.360e+03,1.834e+04
121.8,6.005e+03,5.130e+03,9.987e+03,2.112e+04
123.2,7.733e+03,4.954e+03,1.249e+04,2.518e+04
124.7,9.495e+03,5.282e+03,1.478e+04,2.956e+04
126.2,1.156e+04,6.319e+03,1.580e+04,3.367e+04
127.7,1.365e+04,7.545e+03,1.623e+04,3.742e+04
129.2,1.527e+04,8.461e+03,1.722e+04,4.095e+04
130.7,1.617e+04,9.144e+03,1.854e+04,4.386e+04
132.1,1.548e+04,9.340e+03,2.072e+04,4.554e+04
133.6,9.492e+03,5.969e+03,2.055e+04,3.601e+04
135.1,7.909e+03,4.868e+03,2.025e+04,3.302e+04
136.6,8.673e+03,5.449e+03,2.015e+04,3.428e+04
138.1,9.174e+03,6.479e+03,2.210e+04,3.775e+04
139.6,1.015e+04,7.546e+03,2.399e+04,4.169e+04
141.1,1.085e+04,8.301e+03,2.493e+04,4.408e+04
142.5,1.156e+04,9.042e+03,2.646e+04,4.707e+04
144.0,1.222e+04,9.479e+03,2.781e+04,4.951e+04
145.5,1.260e+04,9.801e+03,2.818e+04,5.059e+04
147.0,1.247e+04,9.881e+03,2.786e+04,5.021e+04
148.5,1.238e+04,9.822e+03,2.760e+04,4.980e+04
150.0,1.276e+04,9.937e+03,2.756e+04,5.026e+04
151.5,1.241e+04,9.538e+03,2.624e+04,4.819e+04
152.9,1.198e+04,9.484e+03,2.515e+04,4.662e+04
154.4,1.183e+04,1.002e+04,2.455e+04,4.641e+04
155.9,1.159e+04,1.039e+04,2.366e+04,4.565e+04
157.4,1.156e+04,1.077e+04,2.337e+04,4.569e+04
158.9,1.198e+04,1.126e+04,2.376e+04,4.700e+04
160.4,1.239e+04,1.112e+04,2.449e+04,4.799e+04
161.8,1.332e+04,1.031e+04,2.640e+04,5.002e+04
163.3,1.412e+04,9.878e+03,2.599e+04,4.998e+04
164.8,1.117e+04,9.578e+03,1.943e+04,4.018e+04
166.3,1.065e+04,8.576e+03,1.895e+04,3.818e+04
167.8,1.022e+04,7.558e+03,1.845e+04,3.623e+04
169.3,9.579e+03,6.322e+03,1.755e+04,3.345e+04
170.8,9.406e+03,4.874e+03,1.710e+04,3.138e+04
172.2,1.250e+04,4.142e+03,2.204e+04,3.868e+04
173.7,1.745e+04,4.753e+03,3.098e+04,5.318e+04
175.2,2.440e+04,5.720e+03,4.364e+04,7.375e+04
176.7,2.917e+04,6.560e+03,5.310e+04,8.883e+04
178.2,3.140e+04,7.820e+03,5.838e+04,9.760e+04
179.7,3.548e+04,8.790e+03,6.719e+04,1.115e+05
181.1,3.410e+04,8.372e+03,6.654e+04,1.090e+05
182.6,3.589e+04,9.450e+03,7.086e+04,1.162e+05
184.1,3.672e+04,1.248e+04,7.129e+04,1.205e+05
185.6,3.514e+04,1.401e+04,6.705e+04,1.162e+05
187.1,3.348e+04,1.439e+04,6.244e+04,1.103e+05
188.6,3.087e+04,1.418e+04,5.663e+04,1.017e+05
190.1,2.968e+04,1.444e+04,5.264e+04,9.676e+04
191.5,2.918e+04,1.529e+04,5.128e+04,9.575e+04
193.0,2.879e+04,1.692e+04,4.873e+04,9.444e+04
194.5,2.836e+04,1.829e+04,4.764e+04,9.428e+04
196.0,2.647e+04,1.713e+04,4.440e+04,8.801e+04
197.5,2.266e+04,1.516e+04,3.619e+04,7.401e+04
199.0,1.474e+04,1.161e+04,2.182e+04,4.816e+04
