freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.740e+01,1.280e+01,4.005e+02,4.307e+02
1.5,4.052e+01,3.183e+01,2.430e+02,3.153e+02
3.0,3.771e+01,3.428e+01,3.339e+01,1.054e+02
4.5,3.562e+01,3.446e+01,2.675e+02,3.376e+02
6.0,4.140e+01,3.006e+01,1.132e+03,1.203e+03
7.5,3.943e+01,3.143e+01,1.986e+03,2.056e+03
8.9,3.913e+01,3.388e+01,3.051e+03,3.124e+03
10.4,4.282e+01,3.571e+01,3.893e+03,3.971e+03
11.9,4.745e+01,4.194e+01,3.539e+03,3.629e+03
13.4,5.025e+01,4.907e+01,4.700e+03,4.799e+03
14.9,5.226e+01,5.925e+01,6.281e+03,6.393e+03
16.4,4.887e+01,5.149e+01,8.013e+03,8.113e+03
17.9,4.789e+01,4.186e+01,9.903e+03,9.993e+03
19.4,4.839e+01,3.839e+01,1.207e+04,1.216e+04
20.9,4.321e+01,4.026e+01,1.464e+04,1.472e+04
22.4,4.445e+01,4.863e+01,1.759e+04,1.768e+04
23.8,4.498e+01,5.304e+01,2.060e+04,2.070e+04
25.3,4.890e+01,5.239e+01,2.419e+04,2.429e+04
26.8,5.306e+01,5.895e+01,2.763e+04,2.775e+04
28.3,5.831e+01,7.354e+01,3.205e+04,3.218e+04
29.8,5.513e+01,8.321e+01,3.709e+04,3.723e+04
31.3,6.487e+01,9.633e+01,4.280e+04,4.297e+04
32.8,1.277e+02,1.155e+02,4.889e+04,4.913e+04
34.3,1.767e+02,9.130e+01,4.891e+04,4.917e+04
35.8,1.661e+02,7.386e+01,5.295e+04,5.319e+04
37.3,1.690e+02,7.959e+01,6.414e+04,6.439e+04
38.8,1.981e+02,1.204e+02,7.652e+04,7.684e+04
40.2,2.283e+02,1.895e+02,8.993e+04,9.035e+04
41.7,2.380e+02,3.044e+02,1.094e+05,1.099e+05
43.2,2.485e+02,4.468e+02,1.314e+05,1.321e+05
44.7,2.811e+02,6.300e+02,1.569e+05,1.578e+05
46.2,4.076e+02,9.688e+02,2.077e+05,2.091e+05
47.7,7.039e+02,1.472e+03,2.837e+05,2.858e+05
49.2,1.212e+03,1.839e+03,3.589e+05,3.620e+05
50.7,1.748e+03,1.863e+03,3.930e+05,3.966e+05
52.2,1.515e+03,1.297e+03,3.752e+05,3.781e+05
53.7,1.107e+03,8.520e+02,3.770e+05,3.790e+05
55.1,2.186e+03,1.491e+03,4.543e+05,4.579e+05
56.6,5.502e+03,3.959e+03,5.742e+05,5.837e+05
58.1,9.683e+03,8.974e+03,7.120e+05,7.307e+05
59.6,1.359e+04,1.705e+04,9.349e+05,9.656e+05
61.1,1.495e+04,2.396e+04,1.181e+06,1.220e+06
62.6,1.553e+04,2.806e+04,1.311e+06,1.354e+06
64.1,1.873e+04,2.909e+04,1.265e+06,1.313e+06
65.6,2.253e+04,2.893e+04,1.132e+06,1.184e+06
67.1,2.098e+04,2.333e+04,9.298e+05,9.741e+05
68.6,1.563e+04,1.579e+04,7.133e+05,7.447e+05
70.1,1.279e+04,1.282e+04,5.901e+05,6.157e+05
71.5,1.117e+04,1.046e+04,5.047e+05,5.263e+05
73.0,7.770e+03,7.904e+03,4.482e+05,4.639e+05
74.5,6.097e+03,7.504e+03,3.898e+05,4.034e+05
76.0,5.943e+03,7.730e+03,3.388e+05,3.524e+05
77.5,6.001e+03,8.592e+03,3.012e+05,3.158e+05
79.0,6.340e+03,8.934e+03,2.642e+05,2.795e+05
80.5,6.786e+03,8.474e+03,2.262e+05,2.415e+05
82.0,6.318e+03,6.867e+03,1.895e+05,2.027e+05
83.5,5.031e+03,4.665e+03,1.596e+05,1.693e+05
85.0,3.740e+03,3.200e+03,1.406e+05,1.476e+05
86.4,2.739e+03,2.253e+03,1.266e+05,1.315e+05
87.9,2.152e+03,1.610e+03,1.142e+05,1.180e+05
89.4,1.934e+03,1.360e+03,1.050e+05,1.082e+05
90.9,1.995e+03,1.350e+03,9.666e+04,1.000e+05
92.4,2.241e+03,1.595e+03,8.979e+04,9.362e+04
93.9,2.539e+03,1.956e+03,8.308e+04,8.757e+04
95.4,2.666e+03,2.179e+03,7.552e+04,8.037e+04
96.9,2.610e+03,2.380e+03,7.062e+04,7.561e+04
98.4,2.378e+03,2.409e+03,6.413e+04,6.892e+04
99.9,2.038e+03,2.092e+03,5.703e+04,6.116e+04
101.4,1.736e+03,1.805e+03,5.098e+04,5.452e+04
102.8,1.326e+03,1.608e+03,4.471e+04,4.764e+04
104.3,8.966e+02,1.586e+03,3.509e+04,3.757e+04
105.8,8.378e+02,1.590e+03,2.710e+04,2.952e+04
107.3,1.166e+03,1.762e+03,2.281e+04,2.574e+04
108.8,1.298e+03,2.182e+03,1.985e+04,2.333e+04
110.3,1.113e+03,2.888e+03,1.711e+04,2.111e+04
111.8,9.870e+02,3.470e+03,1.532e+04,1.977e+04
113.3,1.097e+03,3.589e+03,1.370e+04,1.839e+04
114.8,1.262e+03,4.233e+03,1.173e+04,1.723e+04
116.3,1.304e+03,7.441e+03,1.009e+04,1.884e+04
117.7,1.487e+03,1.191e+04,9.173e+03,2.257e+04
119.2,2.851e+03,1.432e+04,9.128e+03,2.630e+04
120.7,5.728e+03,1.534e+04,1.088e+04,3.195e+04
122.2,8.086e+03,1.407e+04,1.303e+04,3.518e+04
123.7,9.848e+03,1.371e+04,1.522e+04,3.878e+04
125.2,1.248e+04,1.349e+04,1.675e+04,4.272e+04
126.7,1.540e+04,1.371e+04,1.766e+04,4.677e+04
128.2,1.812e+04,1.562e+04,1.831e+04,5.205e+04
129.7,2.005e+04,1.672e+04,1.873e+04,5.551e+04
131.2,2.053e+04,1.560e+04,1.841e+04,5.454e+04
132.7,1.424e+04,1.102e+04,1.549e+04,4.074e+04
134.1,5.387e+03,4.833e+03,1.238e+04,2.260e+04
135.6,4.840e+03,3.826e+03,1.391e+04,2.257e+04
137.1,5.422e+03,4.060e+03,1.542e+04,2.490e+04
138.6,5.861e+03,4.389e+03,1.642e+04,2.667e+04
140.1,6.539e+03,4.711e+03,1.762e+04,2.887e+04
141.6,7.443e+03,4.918e+03,1.919e+04,3.155e+04
143.1,7.791e+03,5.353e+03,2.026e+04,3.340e+04
144.6,8.163e+03,5.740e+03,2.071e+04,3.461e+04
146.1,8.233e+03,6.059e+03,2.081e+04,3.511e+04
147.6,8.350e+03,6.236e+03,2.073e+04,3.532e+04
149.0,8.534e+03,6.040e+03,2.063e+04,3.520e+04
150.5,8.755e+03,5.905e+03,2.103e+04,3.569e+04
152.0,9.094e+03,5.794e+03,2.154e+04,3.643e+04
153.5,9.901e+03,6.443e+03,2.158e+04,3.793e+04
155.0,9.944e+03,6.779e+03,2.168e+04,3.840e+04
156.5,1.009e+04,7.198e+03,2.144e+04,3.872e+04
158.0,1.029e+04,8.262e+03,2.317e+04,4.172e+04
159.5,1.135e+04,8.757e+03,2.545e+04,4.555e+04
161.0,1.192e+04,9.137e+03,2.677e+04,4.782e+04
162.5,1.292e+04,9.347e+03,2.777e+04,5.004e+04
164.0,1.302e+04,9.050e+03,2.690e+04,4.896e+04
165.4,1.332e+04,8.434e+03,2.558e+04,4.733e+04
166.9,1.458e+04,8.614e+03,2.724e+04,5.044e+04
168.4,1.642e+04,8.906e+03,3.014e+04,5.547e+04
169.9,1.883e+04,9.214e+03,3.406e+04,6.210e+04
