freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.586e+01,1.936e+01,4.354e+02,5.106e+02
1.5,2.790e+02,6.695e+01,2.738e+02,6.197e+02
3.0,3.061e+02,8.916e+01,3.785e+01,4.331e+02
4.5,2.596e+02,9.072e+01,2.742e+02,6.245e+02
6.0,2.472e+02,7.931e+01,1.151e+03,1.477e+03
7.5,3.081e+02,9.035e+01,2.013e+03,2.411e+03
9.0,3.362e+02,1.073e+02,3.181e+03,3.625e+03
10.5,4.205e+02,1.306e+02,3.781e+03,4.332e+03
11.9,6.252e+02,2.091e+02,3.703e+03,4.537e+03
13.4,1.328e+03,4.463e+02,5.040e+03,6.815e+03
14.9,2.206e+03,7.035e+02,6.553e+03,9.463e+03
16.4,3.609e+03,1.146e+03,8.459e+03,1.321e+04
17.9,5.468e+03,1.751e+03,1.071e+04,1.793e+04
19.4,6.545e+03,2.070e+03,1.314e+04,2.176e+04
20.9,6.385e+03,1.984e+03,1.603e+04,2.440e+04
22.4,6.113e+03,1.771e+03,1.764e+04,2.552e+04
23.9,4.778e+03,1.388e+03,1.994e+04,2.611e+04
25.4,3.845e+03,1.096e+03,2.342e+04,2.837e+04
26.9,3.924e+03,1.081e+03,2.725e+04,3.225e+04
28.4,2.128e+03,6.183e+02,3.182e+04,3.457e+04
29.9,1.000e+03,3.238e+02,3.754e+04,3.886e+04
31.4,5.533e+02,2.416e+02,4.101e+04,4.180e+04
32.9,3.257e+02,1.759e+02,4.132e+04,4.182e+04
34.4,2.846e+02,1.575e+02,4.437e+04,4.481e+04
35.8,2.696e+02,1.500e+02,5.161e+04,5.203e+04
37.3,3.350e+02,1.716e+02,6.295e+04,6.346e+04
38.8,3.397e+02,2.096e+02,7.633e+04,7.688e+04
40.3,2.817e+02,2.581e+02,9.117e+04,9.171e+04
41.8,2.756e+02,3.377e+02,1.102e+05,1.108e+05
43.3,2.279e+02,4.118e+02,1.317e+05,1.323e+05
44.8,2.091e+02,4.477e+02,1.579e+05,1.585e+05
46.3,2.077e+02,5.740e+02,1.983e+05,1.991e+05
47.8,2.452e+02,7.844e+02,2.391e+05,2.401e+05
49.3,2.810e+02,7.532e+02,2.640e+05,2.651e+05
50.8,2.930e+02,5.229e+02,2.933e+05,2.941e+05
52.3,5.680e+02,8.074e+02,3.984e+05,3.998e+05
53.8,1.778e+03,1.871e+03,5.935e+05,5.971e+05
55.3,4.880e+03,3.387e+03,8.400e+05,8.483e+05
56.8,1.072e+04,4.935e+03,1.014e+06,1.030e+06
58.2,1.726e+04,6.408e+03,1.182e+06,1.206e+06
59.7,2.080e+04,8.227e+03,1.432e+06,1.461e+06
61.2,2.042e+04,8.767e+03,1.524e+06,1.553e+06
62.7,1.604e+04,7.615e+03,1.435e+06,1.458e+06
64.2,7.868e+03,6.192e+03,1.215e+06,1.229e+06
65.7,2.668e+03,5.195e+03,9.038e+05,9.117e+05
67.2,9.987e+02,3.966e+03,6.704e+05,6.754e+05
68.7,4.829e+02,2.681e+03,5.317e+05,5.349e+05
70.2,7.142e+02,2.024e+03,4.264e+05,4.291e+05
71.7,1.752e+03,2.086e+03,3.312e+05,3.351e+05
73.2,3.563e+03,2.864e+03,2.601e+05,2.665e+05
74.7,4.951e+03,3.390e+03,2.267e+05,2.350e+05
76.2,5.960e+03,4.129e+03,2.182e+05,2.283e+05
77.7,8.292e+03,5.402e+03,2.032e+05,2.169e+05
79.2,1.122e+04,6.510e+03,1.927e+05,2.104e+05
80.6,1.371e+04,6.909e+03,2.021e+05,2.227e+05
82.1,1.167e+04,5.120e+03,2.228e+05,2.396e+05
83.6,7.302e+03,2.905e+03,2.149e+05,2.251e+05
85.1,4.615e+03,2.662e+03,2.211e+05,2.284e+05
86.6,2.371e+03,4.373e+03,2.270e+05,2.337e+05
88.1,1.146e+03,5.546e+03,2.017e+05,2.084e+05
89.6,8.307e+02,5.050e+03,1.744e+05,1.803e+05
91.1,6.228e+02,4.061e+03,1.565e+05,1.612e+05
92.6,9.394e+02,5.886e+03,1.431e+05,1.499e+05
94.1,1.616e+03,7.354e+03,1.298e+05,1.387e+05
95.6,1.907e+03,6.290e+03,1.141e+05,1.223e+05
97.1,1.632e+03,3.929e+03,1.030e+05,1.085e+05
98.6,1.676e+03,3.083e+03,9.607e+04,1.008e+05
100.1,1.768e+03,2.616e+03,8.687e+04,9.126e+04
101.6,1.803e+03,2.150e+03,7.706e+04,8.101e+04
103.1,1.543e+03,1.698e+03,6.817e+04,7.141e+04
104.5,1.223e+03,1.489e+03,5.553e+04,5.824e+04
106.0,1.712e+03,2.205e+03,4.597e+04,4.989e+04
107.5,2.447e+03,3.935e+03,4.143e+04,4.781e+04
109.0,2.683e+03,5.131e+03,3.802e+04,4.584e+04
110.5,2.810e+03,5.818e+03,3.792e+04,4.655e+04
112.0,2.671e+03,6.218e+03,3.820e+04,4.709e+04
113.5,2.530e+03,7.007e+03,3.580e+04,4.534e+04
115.0,2.397e+03,8.883e+03,3.261e+04,4.389e+04
