freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.263e+01,1.666e+02,6.983e+00,2.062e+02
1.5,7.421e+01,1.449e+02,3.072e+01,2.498e+02
3.0,7.840e+01,8.508e+01,3.540e+01,1.989e+02
4.5,6.702e+01,3.290e+02,3.149e+01,4.275e+02
6.0,4.918e+01,1.177e+03,3.083e+01,1.257e+03
7.5,4.616e+01,1.968e+03,3.116e+01,2.046e+03
9.0,5.485e+01,2.938e+03,3.592e+01,3.029e+03
10.5,5.379e+01,4.299e+03,4.655e+01,4.400e+03
12.0,5.349e+01,6.517e+03,5.288e+01,6.623e+03
13.5,5.914e+01,1.102e+04,3.908e+01,1.112e+04
14.9,5.735e+01,1.283e+04,4.161e+01,1.293e+04
16.4,7.045e+01,6.925e+03,4.499e+01,7.041e+03
17.9,7.112e+01,6.289e+03,4.180e+01,6.402e+03
19.4,7.036e+01,8.669e+03,3.614e+01,8.775e+03
20.9,7.431e+01,1.171e+04,3.400e+01,1.182e+04
22.4,7.487e+01,1.533e+04,3.529e+01,1.544e+04
23.9,6.764e+01,1.965e+04,3.862e+01,1.976e+04
25.4,7.466e+01,2.489e+04,6.101e+01,2.502e+04
26.9,7.659e+01,3.196e+04,9.230e+01,3.213e+04
28.4,6.852e+01,4.151e+04,1.030e+02,4.168e+04
29.9,6.552e+01,5.446e+04,9.788e+01,5.462e+04
31.4,9.448e+01,7.542e+04,8.720e+01,7.560e+04
32.9,2.235e+02,1.088e+05,9.453e+01,1.091e+05
34.4,3.500e+02,1.530e+05,1.276e+02,1.535e+05
35.9,1.506e+03,1.970e+05,2.065e+02,1.987e+05
37.4,5.657e+03,2.934e+05,3.159e+02,2.993e+05
38.9,9.273e+03,3.282e+05,5.819e+02,3.381e+05
40.4,8.633e+03,2.688e+05,1.475e+03,2.789e+05
41.9,7.114e+03,2.105e+05,7.944e+02,2.184e+05
43.3,5.842e+03,1.638e+05,4.729e+02,1.701e+05
44.8,5.926e+03,1.216e+05,4.475e+02,1.280e+05
46.3,9.319e+03,9.723e+04,4.999e+02,1.071e+05
47.8,1.354e+04,7.876e+04,6.599e+02,9.296e+04
49.3,1.639e+04,5.913e+04,6.749e+02,7.620e+04
50.8,1.941e+04,4.197e+04,7.443e+02,6.213e+04
52.3,2.457e+04,3.453e+04,8.853e+02,5.999e+04
53.8,3.106e+04,3.462e+04,1.074e+03,6.676e+04
55.3,3.836e+04,3.816e+04,1.339e+03,7.786e+04
56.8,4.678e+04,4.257e+04,1.518e+03,9.088e+04
58.3,5.665e+04,4.867e+04,1.611e+03,1.069e+05
59.8,6.776e+04,5.818e+04,2.329e+03,1.283e+05
61.3,7.818e+04,6.851e+04,3.069e+03,1.498e+05
62.8,7.564e+04,7.505e+04,3.685e+03,1.544e+05
64.3,5.180e+04,6.703e+04,3.662e+03,1.225e+05
65.8,3.740e+04,5.874e+04,3.454e+03,9.960e+04
67.3,3.197e+04,5.428e+04,3.195e+03,8.945e+04
68.8,2.853e+04,5.121e+04,2.976e+03,8.272e+04
70.3,2.857e+04,5.243e+04,3.169e+03,8.417e+04
71.7,3.085e+04,5.772e+04,2.921e+03,9.149e+04
73.2,3.117e+04,5.987e+04,2.698e+03,9.373e+04
74.7,3.323e+04,6.309e+04,2.839e+03,9.916e+04
76.2,3.719e+04,6.924e+04,2.644e+03,1.091e+05
77.7,3.577e+04,6.840e+04,1.836e+03,1.060e+05
79.2,3.178e+04,6.005e+04,1.350e+03,9.318e+04
80.7,2.774e+04,5.085e+04,1.046e+03,7.964e+04
82.2,2.381e+04,4.223e+04,8.525e+02,6.689e+04
83.7,2.097e+04,3.620e+04,8.632e+02,5.803e+04
85.2,1.965e+04,3.176e+04,9.201e+02,5.233e+04
86.7,1.891e+04,2.785e+04,9.893e+02,4.774e+04
88.2,1.697e+04,2.345e+04,1.457e+03,4.187e+04
89.7,1.222e+04,1.867e+04,1.826e+03,3.271e+04
