freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.491e+01,1.850e+02,7.043e+00,2.270e+02
1.5,4.595e+01,1.265e+02,3.156e+01,2.040e+02
3.0,3.168e+01,2.771e+01,3.382e+01,9.320e+01
4.5,2.774e+01,2.561e+02,3.360e+01,3.175e+02
6.0,2.763e+01,1.094e+03,3.418e+01,1.156e+03
7.5,2.738e+01,1.940e+03,3.406e+01,2.001e+03
9.0,3.077e+01,2.944e+03,4.262e+01,3.017e+03
10.5,2.886e+01,4.366e+03,6.944e+01,4.464e+03
12.0,2.828e+01,7.177e+03,5.556e+01,7.261e+03
13.5,2.837e+01,1.001e+04,5.933e+01,1.010e+04
14.9,2.826e+01,6.026e+03,5.978e+01,6.114e+03
16.4,2.721e+01,5.057e+03,4.645e+01,5.131e+03
17.9,2.756e+01,7.610e+03,4.279e+01,7.680e+03
19.4,2.927e+01,1.062e+04,4.409e+01,1.069e+04
20.9,2.862e+01,1.383e+04,5.094e+01,1.391e+04
22.4,3.114e+01,1.749e+04,5.530e+01,1.758e+04
23.9,2.962e+01,2.213e+04,5.177e+01,2.221e+04
25.4,3.514e+01,2.846e+04,5.877e+01,2.856e+04
26.9,5.040e+01,3.692e+04,8.354e+01,3.706e+04
28.4,5.539e+01,4.882e+04,7.824e+01,4.896e+04
29.9,5.994e+01,6.337e+04,6.115e+01,6.349e+04
31.4,8.725e+01,7.901e+04,1.249e+02,7.922e+04
32.9,5.298e+02,9.118e+04,2.122e+02,9.192e+04
34.4,2.321e+03,1.041e+05,2.251e+02,1.067e+05
35.9,4.525e+03,1.283e+05,1.464e+02,1.330e+05
37.4,6.198e+03,1.691e+05,9.391e+01,1.754e+05
38.9,6.509e+03,2.139e+05,1.058e+02,2.205e+05
40.4,8.146e+03,2.447e+05,7.027e+01,2.529e+05
41.8,1.078e+04,2.429e+05,5.947e+01,2.537e+05
43.3,1.061e+04,2.012e+05,1.086e+02,2.119e+05
44.8,9.316e+03,1.690e+05,1.713e+02,1.785e+05
46.3,9.385e+03,1.600e+05,1.825e+02,1.695e+05
47.8,1.041e+04,1.436e+05,2.290e+02,1.543e+05
49.3,1.123e+04,1.176e+05,5.383e+02,1.294e+05
50.8,1.285e+04,9.507e+04,6.296e+02,1.086e+05
52.3,1.631e+04,7.658e+04,3.962e+02,9.328e+04
53.8,2.192e+04,5.721e+04,2.663e+02,7.939e+04
55.3,3.187e+04,4.082e+04,3.040e+02,7.299e+04
56.8,5.472e+04,3.650e+04,8.031e+02,9.203e+04
58.3,8.872e+04,5.810e+04,2.071e+03,1.489e+05
59.8,1.023e+05,7.982e+04,2.625e+03,1.847e+05
61.3,9.788e+04,9.197e+04,2.686e+03,1.925e+05
62.8,8.741e+04,9.715e+04,2.586e+03,1.871e+05
64.3,7.348e+04,9.294e+04,2.397e+03,1.688e+05
65.8,6.585e+04,8.525e+04,2.534e+03,1.536e+05
67.3,6.637e+04,8.318e+04,2.610e+03,1.522e+05
68.7,6.893e+04,8.715e+04,2.635e+03,1.587e+05
70.2,6.832e+04,9.225e+04,3.584e+03,1.642e+05
71.7,6.631e+04,9.639e+04,5.176e+03,1.679e+05
73.2,6.653e+04,1.014e+05,5.448e+03,1.734e+05
74.7,6.741e+04,1.054e+05,4.806e+03,1.776e+05
76.2,6.781e+04,1.051e+05,4.072e+03,1.770e+05
77.7,6.373e+04,9.726e+04,3.629e+03,1.646e+05
79.2,5.520e+04,8.378e+04,3.000e+03,1.420e+05
80.7,4.591e+04,6.911e+04,2.079e+03,1.171e+05
82.2,3.763e+04,5.493e+04,1.376e+03,9.393e+04
83.7,3.223e+04,4.462e+04,1.205e+03,7.806e+04
85.2,3.028e+04,3.958e+04,1.245e+03,7.111e+04
86.7,3.019e+04,3.613e+04,1.444e+03,6.776e+04
88.2,2.788e+04,3.225e+04,1.580e+03,6.171e+04
89.7,1.798e+04,2.722e+04,1.893e+03,4.709e+04
91.2,1.178e+04,2.455e+04,2.588e+03,3.892e+04
92.7,9.979e+03,2.478e+04,3.084e+03,3.785e+04
94.2,7.359e+03,2.152e+04,2.471e+03,3.135e+04
95.6,5.296e+03,1.844e+04,2.076e+03,2.581e+04
