freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.877e+01,2.289e+02,9.052e+00,2.768e+02
1.5,3.358e+01,1.470e+02,2.856e+01,2.092e+02
3.0,1.660e+01,2.919e+01,2.961e+01,7.540e+01
4.5,1.710e+01,2.534e+02,2.831e+01,2.988e+02
5.9,1.921e+01,1.084e+03,3.189e+01,1.135e+03
7.4,2.087e+01,1.914e+03,3.343e+01,1.968e+03
8.9,2.094e+01,2.886e+03,3.939e+01,2.947e+03
10.4,2.080e+01,4.267e+03,8.328e+01,4.371e+03
11.9,2.567e+01,6.826e+03,1.023e+02,6.954e+03
13.4,2.791e+01,1.136e+04,8.066e+01,1.146e+04
14.9,3.240e+01,8.301e+03,9.383e+01,8.427e+03
16.3,3.239e+01,5.177e+03,6.894e+01,5.279e+03
17.8,2.959e+01,7.585e+03,4.943e+01,7.664e+03
19.3,3.009e+01,1.076e+04,4.503e+01,1.083e+04
20.8,2.830e+01,1.431e+04,4.578e+01,1.438e+04
22.3,2.969e+01,1.794e+04,4.731e+01,1.802e+04
23.8,3.353e+01,2.227e+04,4.585e+01,2.235e+04
25.2,3.260e+01,2.855e+04,5.057e+01,2.864e+04
26.7,3.536e+01,3.669e+04,6.105e+01,3.679e+04
28.2,4.229e+01,4.572e+04,5.237e+01,4.581e+04
29.7,4.904e+01,5.918e+04,6.955e+01,5.930e+04
31.2,8.412e+01,8.294e+04,9.188e+01,8.312e+04
32.7,1.716e+02,1.228e+05,9.347e+01,1.231e+05
34.2,5.076e+02,1.880e+05,1.140e+02,1.887e+05
35.6,2.135e+03,2.580e+05,2.191e+02,2.604e+05
37.1,6.133e+03,3.126e+05,2.461e+02,3.190e+05
38.6,9.819e+03,3.233e+05,1.304e+02,3.332e+05
40.1,1.229e+04,2.946e+05,1.722e+02,3.071e+05
41.6,1.658e+04,2.423e+05,3.500e+02,2.592e+05
43.1,2.122e+04,1.874e+05,7.002e+02,2.093e+05
44.6,2.553e+04,1.401e+05,1.136e+03,1.667e+05
46.0,3.065e+04,1.049e+05,1.379e+03,1.370e+05
47.5,3.587e+04,7.861e+04,1.305e+03,1.158e+05
49.0,4.008e+04,5.810e+04,1.149e+03,9.933e+04
50.5,4.464e+04,4.354e+04,1.110e+03,8.929e+04
52.0,5.233e+04,4.138e+04,1.685e+03,9.539e+04
53.5,6.081e+04,5.041e+04,2.555e+03,1.138e+05
54.9,7.309e+04,6.688e+04,2.947e+03,1.429e+05
56.4,8.825e+04,8.515e+04,2.742e+03,1.761e+05
57.9,9.969e+04,1.006e+05,4.322e+03,2.046e+05
59.4,1.082e+05,1.192e+05,7.885e+03,2.353e+05
60.9,1.139e+05,1.315e+05,1.041e+04,2.558e+05
62.4,1.117e+05,1.343e+05,1.087e+04,2.569e+05
63.9,8.931e+04,1.178e+05,8.554e+03,2.156e+05
65.3,7.088e+04,1.018e+05,6.668e+03,1.793e+05
66.8,6.420e+04,9.490e+04,5.951e+03,1.650e+05
68.3,5.896e+04,9.010e+04,5.755e+03,1.548e+05
69.8,5.487e+04,8.850e+04,5.353e+03,1.487e+05
71.3,4.946e+04,8.486e+04,4.835e+03,1.392e+05
72.8,4.362e+04,8.006e+04,5.347e+03,1.290e+05
74.3,4.224e+04,7.874e+04,6.383e+03,1.274e+05
75.7,4.238e+04,7.789e+04,6.319e+03,1.266e+05
77.2,4.113e+04,7.440e+04,5.869e+03,1.214e+05
78.7,3.758e+04,6.712e+04,5.342e+03,1.100e+05
80.2,3.542e+04,6.093e+04,3.875e+03,1.002e+05
81.7,3.387e+04,5.493e+04,1.828e+03,9.062e+04
83.2,3.072e+04,4.597e+04,1.004e+03,7.770e+04
84.6,2.756e+04,3.818e+04,1.183e+03,6.692e+04
86.1,2.400e+04,3.162e+04,1.861e+03,5.748e+04
87.6,2.000e+04,2.641e+04,2.474e+03,4.888e+04
89.1,1.582e+04,2.293e+04,2.972e+03,4.172e+04
90.6,1.393e+04,2.213e+04,3.493e+03,3.955e+04
92.1,1.400e+04,2.279e+04,3.634e+03,4.043e+04
93.6,1.405e+04,2.231e+04,3.478e+03,3.984e+04
95.0,1.375e+04,2.146e+04,3.167e+03,3.838e+04
96.5,1.340e+04,2.079e+04,2.743e+03,3.693e+04
98.0,1.333e+04,1.936e+04,2.277e+03,3.497e+04
99.5,1.255e+04,1.749e+04,1.721e+03,3.176e+04
101.0,1.136e+04,1.685e+04,1.210e+03,2.942e+04
102.5,1.046e+04,1.668e+04,8.611e+02,2.799e+04
104.0,9.800e+03,1.681e+04,7.764e+02,2.738e+04
105.4,9.378e+03,1.664e+04,7.696e+02,2.679e+04
106.9,8.138e+03,1.695e+04,7.792e+02,2.587e+04
108.4,7.228e+03,1.921e+04,7.589e+02,2.719e+04
109.9,7.198e+03,2.579e+04,7.685e+02,3.376e+04
111.4,6.839e+03,3.304e+04,8.247e+02,4.070e+04
112.9,5.525e+03,3.947e+04,8.992e+02,4.589e+04
114.3,4.287e+03,4.539e+04,9.278e+02,5.061e+04
115.8,3.410e+03,5.047e+04,8.925e+02,5.477e+04
117.3,2.813e+03,5.438e+04,8.803e+02,5.807e+04
118.8,2.358e+03,5.575e+04,8.844e+02,5.899e+04
120.3,1.826e+03,5.590e+04,8.748e+02,5.860e+04
121.8,1.403e+03,5.493e+04,8.146e+02,5.715e+04
123.3,1.094e+03,5.245e+04,7.399e+02,5.428e+04
124.7,8.323e+02,4.943e+04,6.586e+02,5.092e+04
126.2,6.568e+02,4.758e+04,6.077e+02,4.885e+04
127.7,5.840e+02,4.732e+04,6.396e+02,4.854e+04
129.2,6.130e+02,4.758e+04,6.777e+02,4.887e+04
130.7,6.838e+02,4.697e+04,7.014e+02,4.835e+04
132.2,6.310e+02,3.992e+04,6.367e+02,4.118e+04
133.7,3.007e+02,1.226e+04,3.509e+02,1.291e+04
135.1,1.783e+02,7.973e+02,2.626e+02,1.238e+03
136.6,2.101e+02,5.972e+02,3.273e+02,1.135e+03
138.1,2.210e+02,6.378e+02,4.107e+02,1.269e+03
139.6,2.462e+02,6.740e+02,4.677e+02,1.388e+03
141.1,2.777e+02,6.929e+02,4.976e+02,1.468e+03
142.6,2.741e+02,6.804e+02,5.332e+02,1.488e+03
144.0,2.837e+02,5.845e+02,5.843e+02,1.452e+03
145.5,2.658e+02,4.867e+02,6.136e+02,1.366e+03
147.0,2.307e+02,3.978e+02,6.260e+02,1.255e+03
148.5,2.102e+02,3.195e+02,5.937e+02,1.123e+03
150.0,2.062e+02,3.168e+02,5.502e+02,1.073e+03
151.5,1.904e+02,2.946e+02,5.460e+02,1.031e+03
153.0,1.834e+02,2.842e+02,6.028e+02,1.070e+03
154.4,2.067e+02,3.637e+02,7.265e+02,1.297e+03
155.9,2.460e+02,4.811e+02,9.384e+02,1.665e+03
157.4,2.722e+02,7.475e+02,1.206e+03,2.226e+03
158.9,3.085e+02,1.116e+03,1.503e+03,2.927e+03
160.4,3.168e+02,1.664e+03,1.759e+03,3.740e+03
161.9,3.095e+02,2.337e+03,2.058e+03,4.704e+03
163.4,3.199e+02,3.025e+03,2.475e+03,5.820e+03
164.8,3.459e+02,3.931e+03,3.009e+03,7.285e+03
166.3,3.503e+02,4.858e+03,3.504e+03,8.713e+03
167.8,4.019e+02,5.725e+03,4.103e+03,1.023e+04
169.3,4.703e+02,6.548e+03,4.748e+03,1.177e+04
170.8,4.764e+02,7.652e+03,5.117e+03,1.325e+04
172.3,5.007e+02,9.347e+03,5.559e+03,1.541e+04
173.7,6.101e+02,1.053e+04,6.345e+03,1.748e+04
175.2,8.131e+02,1.083e+04,7.709e+03,1.935e+04
176.7,1.073e+03,1.113e+04,9.191e+03,2.139e+04
178.2,1.411e+03,1.127e+04,1.063e+04,2.331e+04
179.7,1.842e+03,1.088e+04,1.216e+04,2.488e+04
181.2,2.078e+03,1.040e+04,1.322e+04,2.570e+04
182.7,2.256e+03,9.713e+03,1.372e+04,2.568e+04
184.1,2.431e+03,8.675e+03,1.387e+04,2.498e+04
185.6,2.594e+03,7.474e+03,1.367e+04,2.373e+04
187.1,2.550e+03,6.340e+03,1.257e+04,2.146e+04
188.6,2.403e+03,5.337e+03,1.090e+04,1.864e+04
190.1,2.144e+03,4.418e+03,8.629e+03,1.519e+04
191.6,1.855e+03,3.556e+03,6.765e+03,1.218e+04
193.1,1.643e+03,3.059e+03,5.288e+03,9.989e+03
194.5,1.417e+03,2.905e+03,3.982e+03,8.304e+03
196.0,1.273e+03,2.599e+03,3.234e+03,7.107e+03
197.5,1.188e+03,2.302e+03,2.845e+03,6.336e+03
199.0,1.149e+03,2.219e+03,2.427e+03,5.795e+03
